,name,type,value,date
108,华媒控股,19,0.8626672069085416,2020-01-07
109,海峡创新,20,0.41428279744997,2020-01-07
110,*ST联络,21,0.7358640167853883,2020-01-07
111,二三四五,22,0.8487842227912734,2020-01-07
112,众应互联,23,0.8459316095330321,2020-01-07
113,新晨科技,24,0.9003512852171773,2020-01-07
114,广电运通,25,0.6244831230141031,2020-01-07
115,数字认证,26,0.7850143401896655,2020-01-07
116,奥马电器,27,0.5696547404236556,2020-01-07
117,智度股份,28,0.8648710364824743,2020-01-07
118,华力创通,29,0.4908552373468508,2020-01-07
119,广东骏亚,30,0.7696439511186279,2020-01-07
120,恒宝股份,1,0.9311660220359078,2020-01-08
121,数知科技,2,0.7044204936987711,2020-01-08
122,聚龙股份,3,0.8646825920490694,2020-01-08
123,梦网集团,4,0.09844725153753786,2020-01-08
124,昆仑万维,5,0.6918016696143517,2020-01-08
125,科蓝软件,6,0.9417753501103991,2020-01-08
126,金固股份,7,0.8322334556077805,2020-01-08
127,金冠股份,8,0.7370636889467046,2020-01-08
128,金财互联,9,0.7060473901398929,2020-01-08
129,紫光国微,10,0.534920780972631,2020-01-08
130,中科创达,11,0.6227044149740866,2020-01-08
131,信息发展,12,0.7577005103798132,2020-01-08
132,海联金汇,13,0.7954140300804359,2020-01-08
133,飞天诚信,14,0.7473982064331787,2020-01-08
134,赢时胜,15,0.9424087931471021,2020-01-08
135,科达股份,16,0.7819082466532448,2020-01-08
136,汉威科技,17,0.5038395913161643,2020-01-08
137,朗科科技,18,0.7358782340325697,2020-01-08
138,华媒控股,19,0.8769632461203961,2020-01-08
139,海峡创新,20,0.4634198422328512,2020-01-08
140,*ST联络,21,0.7587859501840284,2020-01-08
141,二三四五,22,0.9273507298111926,2020-01-08
142,众应互联,23,0.8054689324991131,2020-01-08
143,新晨科技,24,0.9068197173041752,2020-01-08
144,广电运通,25,0.6326200362037989,2020-01-08
145,数字认证,26,0.7972854255708627,2020-01-08
146,奥马电器,27,0.6173267206198414,2020-01-08
147,智度股份,28,0.8981182361852617,2020-01-08
148,华力创通,29,0.5482140817936638,2020-01-08
149,广东骏亚,30,0.7644666932214151,2020-01-08
150,恒宝股份,1,0.9136323835252783,2020-01-09
151,数知科技,2,0.7085313252627167,2020-01-09
152,聚龙股份,3,0.8799233770135251,2020-01-09
153,梦网集团,4,0.1565085312841024,2020-01-09
154,昆仑万维,5,0.7086689411600247,2020-01-09
155,科蓝软件,6,0.9436442707389667,2020-01-09
156,金固股份,7,0.8427731144403368,2020-01-09
157,金冠股份,8,0.7506344056812114,2020-01-09
158,金财互联,9,0.6786746787579566,2020-01-09
159,紫光国微,10,0.5552854029884642,2020-01-09
160,中科创达,11,0.6495580511498258,2020-01-09
161,信息发展,12,0.7730198129323091,2020-01-09
162,海联金汇,13,0.780161263564142,2020-01-09
163,飞天诚信,14,0.7301617892546914,2020-01-09
164,赢时胜,15,0.945936670499862,2020-01-09
165,科达股份,16,0.7378005395663322,2020-01-09
166,汉威科技,17,0.605202433665212,2020-01-09
167,朗科科技,18,0.7506012479340579,2020-01-09
168,华媒控股,19,0.8935160561437021,2020-01-09
169,海峡创新,20,0.4511762132982837,2020-01-09
170,*ST联络,21,0.7618319104623881,2020-01-09
171,二三四五,22,0.9364211869941428,2020-01-09
172,众应互联,23,0.811507672077018,2020-01-09
173,新晨科技,24,0.9015362432617273,2020-01-09
174,广电运通,25,0.6277993728306228,2020-01-09
175,数字认证,26,0.776802754728989,2020-01-09
176,奥马电器,27,0.6486866204874585,2020-01-09
177,智度股份,28,0.9101659611058401,2020-01-09
178,华力创通,29,0.7111072899892276,2020-01-09
179,广东骏亚,30,0.7899722830900878,2020-01-09
180,恒宝股份,1,0.9126414357426818,2020-01-10
181,数知科技,2,0.7114857548460479,2020-01-10
182,聚龙股份,3,0.8823905655328634,2020-01-10
183,梦网集团,4,0.2874745801582728,2020-01-10
184,昆仑万维,5,0.7124842869469451,2020-01-10
185,科蓝软件,6,0.9476024852490688,2020-01-10
186,金固股份,7,0.8679126136107127,2020-01-10
187,金冠股份,8,0.7208060843615796,2020-01-10
188,金财互联,9,0.6802449812228764,2020-01-10
189,紫光国微,10,0.542738169854492,2020-01-10
190,中科创达,11,0.659732790798833,2020-01-10
191,信息发展,12,0.775618503072942,2020-01-10
192,海联金汇,13,0.7800100809906007,2020-01-10
193,飞天诚信,14,0.7345616128313235,2020-01-10
194,赢时胜,15,0.9435442723923915,2020-01-10
195,科达股份,16,0.7375919838662967,2020-01-10
196,汉威科技,17,0.5415105640242575,2020-01-10
197,朗科科技,18,0.7597514622955972,2020-01-10
198,华媒控股,19,0.9174064502761663,2020-01-10
199,海峡创新,20,0.4587661613417737,2020-01-10
200,*ST联络,21,0.7382513775759656,2020-01-10
201,二三四五,22,0.9470579004005412,2020-01-10
202,众应互联,23,0.8215791212839669,2020-01-10
203,新晨科技,24,0.8996638545537351,2020-01-10
204,广电运通,25,0.6296063149586205,2020-01-10
205,数字认证,26,0.782989049607312,2020-01-10
206,奥马电器,27,0.7680651759241948,2020-01-10
207,智度股份,28,0.9032910542662915,2020-01-10
208,华力创通,29,0.7220180892393023,2020-01-10
209,广东骏亚,30,0.8030567234315448,2020-01-10
210,恒宝股份,1,0.8977754702115547,2020-01-13
211,数知科技,2,0.7024333974635985,2020-01-13
212,聚龙股份,3,0.8721395601173962,2020-01-13
213,梦网集团,4,0.3560943743744877,2020-01-13
214,昆仑万维,5,0.6572382385545239,2020-01-13
215,科蓝软件,6,0.9425497819119899,2020-01-13
216,金固股份,7,0.8302877214302571,2020-01-13
217,金冠股份,8,0.6631818833563423,2020-01-13
218,金财互联,9,0.5844591269932523,2020-01-13
219,紫光国微,10,0.5348755882911553,2020-01-13
220,中科创达,11,0.5182849264863082,2020-01-13
221,信息发展,12,0.7198932444042011,2020-01-13
222,海联金汇,13,0.7699394459106969,2020-01-13
223,飞天诚信,14,0.7116502800942117,2020-01-13
224,赢时胜,15,0.9593350359059206,2020-01-13
225,科达股份,16,0.6847299501964091,2020-01-13
226,汉威科技,17,0.4971042015070265,2020-01-13
227,朗科科技,18,0.6918771446136777,2020-01-13
228,华媒控股,19,0.8966693888395341,2020-01-13
229,海峡创新,20,0.3726507098553419,2020-01-13
230,*ST联络,21,0.6663579824087309,2020-01-13
231,二三四五,22,0.9261958481438501,2020-01-13
232,众应互联,23,0.7734625941337091,2020-01-13
233,新晨科技,24,0.8737906351306259,2020-01-13
234,广电运通,25,0.5414472310770182,2020-01-13
235,数字认证,26,0.7403035125383877,2020-01-13
236,奥马电器,27,0.8237679979712337,2020-01-13
237,智度股份,28,0.8756689229858067,2020-01-13
238,华力创通,29,0.5934452932320419,2020-01-13
239,广东骏亚,30,0.7742205545539349,2020-01-13
240,恒宝股份,1,0.8802016729780918,2020-01-14
241,数知科技,2,0.7033151829006858,2020-01-14
242,聚龙股份,3,0.889142963696162,2020-01-14
243,梦网集团,4,0.3375552968132749,2020-01-14
244,昆仑万维,5,0.7629865594330238,2020-01-14
245,科蓝软件,6,0.8986584542485747,2020-01-14
246,金固股份,7,0.7768419338954106,2020-01-14
247,金冠股份,8,0.6080856717674984,2020-01-14
248,金财互联,9,0.439470618976166,2020-01-14
249,紫光国微,10,0.6548887330941173,2020-01-14
250,中科创达,11,0.4799117423427222,2020-01-14
251,信息发展,12,0.732237937154759,2020-01-14
252,海联金汇,13,0.6640249363226789,2020-01-14
253,飞天诚信,14,0.652628180212071,2020-01-14
254,赢时胜,15,0.9622228171892968,2020-01-14
255,科达股份,16,0.6088573986229787,2020-01-14
256,汉威科技,17,0.7300843857397572,2020-01-14
257,朗科科技,18,0.6341788069511859,2020-01-14
258,华媒控股,19,0.8635203210419182,2020-01-14
259,海峡创新,20,0.4079823798659308,2020-01-14
260,*ST联络,21,0.5957380979885791,2020-01-14
261,二三四五,22,0.9115811472987333,2020-01-14
262,众应互联,23,0.6579719502641841,2020-01-14
263,新晨科技,24,0.6921494001762181,2020-01-14
