,name,type,value,date
94,昆仑万维,昆仑万维,0.9091705219927405,2020-01-07
95,科蓝软件,科蓝软件,0.9392575268995582,2020-01-07
96,金固股份,金固股份,0.8378531210136063,2020-01-07
97,金冠股份,金冠股份,0.199239270272887,2020-01-07
98,金财互联,金财互联,0.3153967944853507,2020-01-07
99,紫光国微,紫光国微,0.8346226184815966,2020-01-07
100,中科创达,中科创达,-0.2241032369052741,2020-01-07
101,信息发展,信息发展,0.7567467148188187,2020-01-07
102,海联金汇,海联金汇,0.7027348112712526,2020-01-07
103,飞天诚信,飞天诚信,0.1612378472243105,2020-01-07
104,赢时胜,赢时胜,0.8838371375405356,2020-01-07
105,科达股份,科达股份,0.8746942386938175,2020-01-07
106,汉威科技,汉威科技,0.8275327308398267,2020-01-07
107,朗科科技,朗科科技,-0.3621890479618709,2020-01-07
108,华媒控股,华媒控股,0.707892751268582,2020-01-07
109,海峡创新,海峡创新,0.3909762736054463,2020-01-07
110,*ST联络,*ST联络,0.4568672617790542,2020-01-07
111,二三四五,二三四五,0.9604291892078718,2020-01-07
112,众应互联,众应互联,0.8332602633831169,2020-01-07
113,新晨科技,新晨科技,0.7554521312511105,2020-01-07
114,广电运通,广电运通,0.02847025632231058,2020-01-07
115,数字认证,数字认证,0.5727608001042559,2020-01-07
116,奥马电器,奥马电器,0.9056489542928229,2020-01-07
117,智度股份,智度股份,0.9112677778937427,2020-01-07
118,华力创通,华力创通,0.5721856069083963,2020-01-07
119,广东骏亚,广东骏亚,0.2058900100618311,2020-01-07
120,恒宝股份,恒宝股份,0.8911917649704614,2020-01-08
121,数知科技,数知科技,0.7167880448289439,2020-01-08
122,聚龙股份,聚龙股份,0.8684178497764886,2020-01-08
123,梦网集团,梦网集团,0.6499683890089165,2020-01-08
124,昆仑万维,昆仑万维,0.9062817248833676,2020-01-08
125,科蓝软件,科蓝软件,0.9511596236150608,2020-01-08
126,金固股份,金固股份,0.9646942954576848,2020-01-08
127,金冠股份,金冠股份,0.7173519825309174,2020-01-08
128,金财互联,金财互联,0.5744114827537853,2020-01-08
129,紫光国微,紫光国微,0.9426427008839257,2020-01-08
130,中科创达,中科创达,0.2019976973087716,2020-01-08
131,信息发展,信息发展,0.9248810071692912,2020-01-08
132,海联金汇,海联金汇,0.5564630797180298,2020-01-08
133,飞天诚信,飞天诚信,0.6965787421069481,2020-01-08
134,赢时胜,赢时胜,0.9784771344335486,2020-01-08
135,科达股份,科达股份,0.9908423516822402,2020-01-08
136,汉威科技,汉威科技,0.9516308756914814,2020-01-08
137,朗科科技,朗科科技,0.508639174304427,2020-01-08
138,华媒控股,华媒控股,0.9097754117741199,2020-01-08
139,海峡创新,海峡创新,0.6973813677496962,2020-01-08
140,*ST联络,*ST联络,0.6538335130729676,2020-01-08
141,二三四五,二三四五,0.9885159470004776,2020-01-08
142,众应互联,众应互联,0.7391730842571093,2020-01-08
143,新晨科技,新晨科技,0.989333379539943,2020-01-08
144,广电运通,广电运通,0.3062534802467639,2020-01-08
145,数字认证,数字认证,0.6969631304085782,2020-01-08
146,奥马电器,奥马电器,0.9704098044635775,2020-01-08
147,智度股份,智度股份,0.963644308097436,2020-01-08
148,华力创通,华力创通,0.8419691670792226,2020-01-08
149,广东骏亚,广东骏亚,0.4996402352800263,2020-01-08
150,恒宝股份,恒宝股份,0.8582560488150303,2020-01-09
151,数知科技,数知科技,0.5908335478607655,2020-01-09
152,聚龙股份,聚龙股份,0.9275835816452197,2020-01-09
153,梦网集团,梦网集团,0.530185766631673,2020-01-09
154,昆仑万维,昆仑万维,0.8005238911369692,2020-01-09
155,科蓝软件,科蓝软件,0.9433267517155945,2020-01-09
156,金固股份,金固股份,0.9574161492883517,2020-01-09
157,金冠股份,金冠股份,0.8084510342566861,2020-01-09
158,金财互联,金财互联,0.4486040928724511,2020-01-09
159,紫光国微,紫光国微,0.9312336689854613,2020-01-09
160,中科创达,中科创达,0.1576087137177584,2020-01-09
161,信息发展,信息发展,0.9289210719905019,2020-01-09
162,海联金汇,海联金汇,0.5164336306841829,2020-01-09
163,飞天诚信,飞天诚信,0.7252915320357937,2020-01-09
164,赢时胜,赢时胜,0.9705345890595294,2020-01-09
165,科达股份,科达股份,0.8484110092306754,2020-01-09
166,汉威科技,汉威科技,0.9546714797690168,2020-01-09
167,朗科科技,朗科科技,0.4132864364215037,2020-01-09
168,华媒控股,华媒控股,0.96122907062647,2020-01-09
169,海峡创新,海峡创新,0.6696503049208553,2020-01-09
170,*ST联络,*ST联络,0.4765164483996255,2020-01-09
171,二三四五,二三四五,0.9883111404125146,2020-01-09
172,众应互联,众应互联,0.7148167249392348,2020-01-09
173,新晨科技,新晨科技,0.9294338189961064,2020-01-09
174,广电运通,广电运通,0.5972785351856937,2020-01-09
175,数字认证,数字认证,0.8328575383592276,2020-01-09
176,奥马电器,奥马电器,0.9497256760571079,2020-01-09
177,智度股份,智度股份,0.9548768526296235,2020-01-09
178,华力创通,华力创通,0.8055857926531547,2020-01-09
179,广东骏亚,广东骏亚,0.4159221313291255,2020-01-09
180,恒宝股份,恒宝股份,0.9059608210950765,2020-01-10
181,数知科技,数知科技,0.8561502287743142,2020-01-10
182,聚龙股份,聚龙股份,0.9333120648157538,2020-01-10
183,梦网集团,梦网集团,0.5731149772570694,2020-01-10
184,昆仑万维,昆仑万维,0.8280797600445806,2020-01-10
185,科蓝软件,科蓝软件,0.9703353328946349,2020-01-10
186,金固股份,金固股份,0.9250025912804989,2020-01-10
187,金冠股份,金冠股份,0.8051858572671609,2020-01-10
188,金财互联,金财互联,0.8360653928500089,2020-01-10
189,紫光国微,紫光国微,0.6486502666278304,2020-01-10
190,中科创达,中科创达,0.3279156847557752,2020-01-10
191,信息发展,信息发展,0.9448279044234382,2020-01-10
192,海联金汇,海联金汇,0.5485351585589364,2020-01-10
193,飞天诚信,飞天诚信,0.8359911076148064,2020-01-10
194,赢时胜,赢时胜,0.9728488200972267,2020-01-10
195,科达股份,科达股份,0.8265513938437046,2020-01-10
196,汉威科技,汉威科技,0.7443068628774604,2020-01-10
197,朗科科技,朗科科技,0.5013806577174479,2020-01-10
198,华媒控股,华媒控股,0.9647396534282425,2020-01-10
199,海峡创新,海峡创新,0.6938195797203057,2020-01-10
200,*ST联络,*ST联络,0.4131900899800452,2020-01-10
201,二三四五,二三四五,0.9980290884292798,2020-01-10
202,众应互联,众应互联,0.8698323169048262,2020-01-10
203,新晨科技,新晨科技,0.9356236239726637,2020-01-10
204,广电运通,广电运通,0.6485471272002858,2020-01-10
205,数字认证,数字认证,0.8734534609016509,2020-01-10
206,奥马电器,奥马电器,0.7971306394832968,2020-01-10
207,智度股份,智度股份,0.9329440357972542,2020-01-10
208,华力创通,华力创通,0.8209647872121996,2020-01-10
209,广东骏亚,广东骏亚,0.4949765992869807,2020-01-10
210,恒宝股份,恒宝股份,0.9350564631243689,2020-01-13
211,数知科技,数知科技,0.8648533478876033,2020-01-13
212,聚龙股份,聚龙股份,0.9542109722282203,2020-01-13
213,梦网集团,梦网集团,0.573339503288535,2020-01-13
214,昆仑万维,昆仑万维,0.8358042188978071,2020-01-13
215,科蓝软件,科蓝软件,0.9717817855438106,2020-01-13
216,金固股份,金固股份,0.9588102296542121,2020-01-13
217,金冠股份,金冠股份,0.7769621010857354,2020-01-13
218,金财互联,金财互联,0.8143669665745191,2020-01-13
219,紫光国微,紫光国微,0.5319303660979187,2020-01-13
220,中科创达,中科创达,0.4107088006536314,2020-01-13
221,信息发展,信息发展,0.9755798507629424,2020-01-13
222,海联金汇,海联金汇,0.6045347839367815,2020-01-13
223,飞天诚信,飞天诚信,0.83926338624043,2020-01-13
224,赢时胜,赢时胜,0.9728587545143181,2020-01-13
225,科达股份,科达股份,0.8242522703134315,2020-01-13
226,汉威科技,汉威科技,0.7495923339779674,2020-01-13
227,朗科科技,朗科科技,0.9344591524699362,2020-01-13
228,华媒控股,华媒控股,0.9829807162598837,2020-01-13
229,海峡创新,海峡创新,0.9626025314281266,2020-01-13
230,*ST联络,*ST联络,0.5257575138475079,2020-01-13
231,二三四五,二三四五,0.9849648799216245,2020-01-13
232,众应互联,众应互联,0.8991736189330101,2020-01-13
233,新晨科技,新晨科技,0.9339193683859152,2020-01-13
234,广电运通,广电运通,0.9373927398599847,2020-01-13
235,数字认证,数字认证,0.9365119739090405,2020-01-13
236,奥马电器,奥马电器,0.744206417743991,2020-01-13
237,智度股份,智度股份,0.9455365916355007,2020-01-13
238,华力创通,华力创通,0.6597903705342718,2020-01-13
239,广东骏亚,广东骏亚,0.5460428334803015,2020-01-13
240,恒宝股份,恒宝股份,0.9033646822791952,2020-01-14
241,数知科技,数知科技,0.9372938390168158,2020-01-14
242,聚龙股份,聚龙股份,0.9335806008260297,2020-01-14
243,梦网集团,梦网集团,0.9192373364781022,2020-01-14
244,昆仑万维,昆仑万维,0.9050057958439489,2020-01-14
245,科蓝软件,科蓝软件,0.9266835684945773,2020-01-14
246,金固股份,金固股份,0.9288966627024507,2020-01-14
247,金冠股份,金冠股份,0.552247855933443,2020-01-14
248,金财互联,金财互联,0.2388636191284156,2020-01-14
249,紫光国微,紫光国微,0.7155655742169518,2020-01-14
250,中科创达,中科创达,0.666584924271004,2020-01-14
251,信息发展,信息发展,0.9945179056951721,2020-01-14
252,海联金汇,海联金汇,0.3388103794219444,2020-01-14
253,飞天诚信,飞天诚信,0.8563323778537755,2020-01-14
254,赢时胜,赢时胜,0.9639828521225288,2020-01-14
255,科达股份,科达股份,0.7755055009726574,2020-01-14
256,汉威科技,汉威科技,0.7308536514519176,2020-01-14
257,朗科科技,朗科科技,0.955527121774344,2020-01-14
258,华媒控股,华媒控股,0.9482386043384474,2020-01-14
259,海峡创新,海峡创新,0.8856728016291978,2020-01-14
260,*ST联络,*ST联络,0.738260598091313,2020-01-14
261,二三四五,二三四五,0.9707137872054218,2020-01-14
262,众应互联,众应互联,0.8416067378251876,2020-01-14
263,新晨科技,新晨科技,0.7911133433053946,2020-01-14
264,广电运通,广电运通,0.7287092851168421,2020-01-14
265,数字认证,数字认证,0.9179497007766101,2020-01-14
266,奥马电器,奥马电器,0.7643959606325009,2020-01-14
267,智度股份,智度股份,0.9189510422800684,2020-01-14
268,华力创通,华力创通,0.8076456845039008,2020-01-14
269,广东骏亚,广东骏亚,0.8484824568725081,2020-01-14
270,恒宝股份,恒宝股份,0.8646662457533624,2020-01-15
271,数知科技,数知科技,0.6021555247566792,2020-01-15
272,聚龙股份,聚龙股份,0.8992023446397637,2020-01-15
273,梦网集团,梦网集团,0.6164179955588449,2020-01-15
274,昆仑万维,昆仑万维,0.485935757366543,2020-01-15
275,科蓝软件,科蓝软件,0.889920479534912,2020-01-15
276,金固股份,金固股份,0.9091460212649154,2020-01-15
277,金冠股份,金冠股份,0.6073218857948556,2020-01-15
278,金财互联,金财互联,0.3229653559647271,2020-01-15
279,紫光国微,紫光国微,0.5595966536653361,2020-01-15
280,中科创达,中科创达,0.5350476315673427,2020-01-15
281,信息发展,信息发展,0.9887228961473594,2020-01-15
282,海联金汇,海联金汇,0.8405199706348092,2020-01-15
283,飞天诚信,飞天诚信,0.7553888409658276,2020-01-15
284,赢时胜,赢时胜,0.8854370181150025,2020-01-15
285,科达股份,科达股份,0.7317033362565898,2020-01-15
286,汉威科技,汉威科技,0.6040965474823475,2020-01-15
287,朗科科技,朗科科技,0.9487590070772265,2020-01-15
288,华媒控股,华媒控股,0.7878479658905724,2020-01-15
289,海峡创新,海峡创新,0.1933347250420585,2020-01-15
290,*ST联络,*ST联络,0.7815913588639507,2020-01-15
291,二三四五,二三四五,0.6557446344051941,2020-01-15
292,众应互联,众应互联,0.9213378943195568,2020-01-15
293,新晨科技,新晨科技,0.7262656273989464,2020-01-15
294,广电运通,广电运通,0.8500850591101257,2020-01-15
295,数字认证,数字认证,0.8422232040009335,2020-01-15
296,奥马电器,奥马电器,0.7852443219908042,2020-01-15
297,智度股份,智度股份,0.8746822063163965,2020-01-15
298,华力创通,华力创通,0.7763031589374934,2020-01-15
299,广东骏亚,广东骏亚,0.6425677152471451,2020-01-15
300,恒宝股份,恒宝股份,0.8997208618974724,2020-01-16
301,数知科技,数知科技,0.1541261021478466,2020-01-16
302,聚龙股份,聚龙股份,0.9663675705310981,2020-01-16
303,梦网集团,梦网集团,-0.3506486412356606,2020-01-16
304,昆仑万维,昆仑万维,-0.2119818838450607,2020-01-16
305,科蓝软件,科蓝软件,0.8857663933195751,2020-01-16
306,金固股份,金固股份,0.8614319996012629,2020-01-16
307,金冠股份,金冠股份,0.4584850954504729,2020-01-16
308,金财互联,金财互联,0.5570667087237723,2020-01-16
309,紫光国微,紫光国微,0.6917998356000437,2020-01-16
310,中科创达,中科创达,0.3299596909054285,2020-01-16
311,信息发展,信息发展,0.9933413329372122,2020-01-16
312,海联金汇,海联金汇,0.9315541805862886,2020-01-16
313,飞天诚信,飞天诚信,0.7158011454484761,2020-01-16
314,赢时胜,赢时胜,0.8833472661031564,2020-01-16
315,科达股份,科达股份,0.9057712754797299,2020-01-16
316,汉威科技,汉威科技,0.7395068697102499,2020-01-16
317,朗科科技,朗科科技,0.9410373256591477,2020-01-16
318,华媒控股,华媒控股,0.8695318130141799,2020-01-16
319,海峡创新,海峡创新,-0.4090145304534258,2020-01-16
320,*ST联络,*ST联络,0.9650513028588059,2020-01-16
321,二三四五,二三四五,0.8661252076145068,2020-01-16
